pickup_hour,pickup_weekday,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
0,0,15.546793102615565,745384,11588330.83,4.352292845030213,13.858613148587924
0,1,14.665116261027624,812052,11908836.990000004,4.023426553964528,15.238329421417475
0,2,13.855872396045243,983120,13621985.27,3.6813323398974735,15.809121447593554
0,3,13.723046091646305,1154591,15844505.509999998,3.579707013132791,16.085447876548855
0,4,13.761269493148884,1538874,21176859.829999994,3.4976787053391005,16.48342892005797
0,5,13.11471810413058,2142848,28102847.460000005,3.165303591295327,15.997376757046279
0,6,12.36648319854187,2166062,26786569.33,2.904830023332664,15.733576679038647
1,0,14.9339121668382,450832,6732685.489999999,4.126296957625014,13.065105858100328
1,1,15.889681491449767,457005,7261663.890000001,3.9004115491077775,14.398829874206838
1,2,13.578604216760093,549806,7465598.069999999,3.6324939342240716,14.972344476324587
1,3,13.298935123885906,657823,8748345.399999999,3.495981000968344,15.3579282771887
1,4,13.30021523018417,970310,12905331.840000002,3.435076027249024,15.916474079919047
1,5,12.405062558505444,1757315,21799602.509999994,3.034511331206983,16.163453759883666
1,6,11.893441186013739,1913907,22762940.339999996,2.866223912656155,16.113872506806256
2,0,13.9059982405089,295540,4109778.72,3.7484330716654273,12.556656145727707
2,1,13.489916774343415,275516,3716687.91,3.624055263578159,13.559980894502656
2,2,13.097853644112849,334814,4385344.77,3.484994295340099,14.091798356100337
2,3,13.404848844235158,400514,5368829.63,3.3975861268270235,14.483501665415593
2,4,12.834069293556125,610735,7838215.31,3.3218692395228704,15.121248166504841
2,5,12.008209341389705,1403774,16856812.05999999,2.969267424813398,16.038253979990532
2,6,12.207272100945914,1497911,18285407.159999996,2.9245288338225723,16.00912585737389
3,0,16.2962745042653,212412,3461524.2600000002,3.944220806734083,11.721355754520783
3,1,14.078456855776171,187105,2634149.6700000004,3.83958451137062,12.293139265375606
3,2,13.753302372048443,222213,3056162.5800000005,3.712745338931567,12.727925590950923
3,3,13.673358564062536,266474,3643594.5500000003,3.6566549832253807,13.225332520167209
3,4,13.482021336791822,399404,5384773.250000001,3.559355013970816,13.90590841726302
3,5,12.456958731514067,1007185,12546461.979999997,3.173553269756796,15.27897067069991
3,6,12.39374237890138,1153213,14292624.829999996,3.1529892569716083,15.285190498092188
4,0,16.959032470214584,249367,4229023.05,4.907154635537179,11.882209495771615
4,1,16.049931773647927,210769,3382828.07,4.58984727355541,11.82651940789525
4,2,16.22204451325721,232515,3771868.68,4.614791647850678,12.176036448079625
4,3,16.066489272968948,262561,4218433.49,4.539168878851007,12.540410916466255
4,4,16.043220411812204,346760,5563147.109999999,4.494365497750607,12.778135457891388
4,5,14.165596477896088,650066,9208572.639999999,3.791854965495816,13.01197324443158
4,6,14.04989290247156,739046,10383517.149999997,3.749692048938769,13.108167215229834
5,0,16.505428255676517,442481,7303338.4,4.795388977153825,14.038416929110578
5,1,14.837301563605294,435404,6460220.449999999,4.211047601767553,14.262735403529701
5,2,15.084722402549666,442097,6668910.52,4.286643926559105,14.43784584094469
5,3,17.298969382398226,455261,7875546.1,4.342384478354178,14.463538046875081
5,4,16.087804094783223,476118,7659693.109999999,4.58474107259125,14.139476162577587
5,5,17.27583103363014,351857,6078622.08,4.93694216684619,11.656136842417006
5,6,17.610069716259893,354867,6249232.609999999,5.053593938010578,11.491613152505723
6,0,13.151972334731903,1087067,14297075.110000005,3.5001743222818864,14.543339811401784
6,1,12.039924378866552,1156555,13924834.740000004,3.098817617839184,14.838964253830307
6,2,12.129453523690175,1171414,14208611.670000004,3.129842463894066,14.935311031090867
6,3,12.370763412497913,1185126,14660913.360000001,3.203319647024873,14.993116246960037
6,4,12.983523499290541,1136779,14759396.860000001,3.4177046637912905,14.790546921539974
6,5,15.590853846668477,508206,7923365.47,4.402024297233798,12.162007829614156
6,6,17.421283024355127,419501,7308245.65,5.027647276168588,11.840467561749193
7,0,12.464297899250138,1769511,22055712.24000001,2.960611259268802,15.780759106032443
7,1,11.802759891651062,1995774,23555641.320000008,2.6771604149568033,16.144211338562325
7,2,11.798342644256563,2045089,24128660.76000001,2.6766128026702014,16.24185881015788
7,3,11.864764031206334,2061120,24454702.44,2.696025966464833,16.273432929910875
7,4,12.038732837635616,1924560,23169263.67,2.7934270170844235,16.051221902184047
7,5,13.375987152606097,756418,10117837.45,3.60171567836831,13.530571413038837
7,6,15.01393930593141,595676,8943443.309999999,4.197689868317677,12.864431278646105
8,0,12.691019118216792,2121746,26927119.050000004,2.7144604443698728,16.152260429371907
8,1,12.27080603758043,2369691,29078018.630000006,2.479944646791503,16.449266305971065
8,2,12.429081715613382,2439081,30315537.060000002,2.4577366598321255,16.61004115516578
8,3,12.46547109379258,2440289,30419351.990000002,2.4770370394654044,16.644808923623224
8,4,12.35105218769696,2322808,28689122.83,2.5560695503029107,16.410978144896987
8,5,12.047791466869857,1141785,13755987.58,3.0292359857591378,14.24118229682842
8,6,12.909620005600527,903487,11663673.850000003,3.411766323145764,13.850291168480963
9,0,12.968038428924677,2023684,26243211.880000006,2.7171577825391737,15.699594089302845
9,1,12.767954842221025,2232395,28503118.550000004,2.5092156450807312,15.959149019438888
9,2,12.699039271377004,2287493,29048963.439999998,2.483326274659639,16.09656558821497
9,3,13.11435939519933,2289680,30027686.42,2.4974012132699763,16.130253272395652
9,4,12.815777670829068,2208743,28306759.220000006,2.5683173370555155,15.83742948293715
9,5,11.231093503319842,1613932,18126221.2,2.653066715326294,14.504555861919933
9,6,11.79528947646349,1325600,15635835.730000002,2.9739039302957098,14.134889892875847
10,0,13.44697606305622,1877182,25242421.419999998,2.8291966841787306,14.792259231844076
10,1,13.065164463427717,2065444,26985365.549999997,2.6142216685613318,15.177076326768681
10,2,13.486248605766384,2111375,28474528.15,2.596260091172817,15.272029045875867
10,3,13.413373693633638,2124117,28491575.09,2.621502436071083,15.265602719831461
10,4,13.143584226575785,2075491,27279390.770000003,2.695505473162735,14.881139384640786
10,5,11.339331743404287,1932581,21914177.080000002,2.595362140060367,14.43142404914988
10,6,11.717685963298639,1783040,20893102.780000005,2.8590105157483827,14.28105849319168
11,0,13.273131544870928,1901298,25236178.460000005,2.8075604245099908,14.462566442442814
11,1,13.175071024217132,2078446,27383673.67,2.702664312664369,14.797308392038413
11,2,13.291115240964443,2159883,28707253.860000003,2.5938036736249126,14.839713274723682
11,3,13.708875220409258,2155649,29551523.159999996,2.6383067929890207,14.894241287336431
11,4,13.314977567698614,2134645,28422750.290000007,2.6830460708923476,14.500023080654737
