pickup_taxizone_id,pickup_hour,pickup_weekday,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
1.0,0,0,97.64285714285714,7,683.5,0.11857142857142856,11.366024451738737
1.0,0,1,81.16666666666667,12,974.0,9.514999999999999,8.872056759706846
1.0,0,2,88.89999999999999,12,1066.8,7.728333333333333,5.981033243481779
1.0,0,3,66.18857142857142,14,926.64,2.9571428571428577,58.38315895684553
1.0,0,4,90.95625,16,1455.3,8.826875000000001,37.061635063085276
1.0,0,5,99.88050000000001,20,1997.6100000000001,1.361,17.775320162164622
1.0,0,6,120.92857142857143,14,1693.0,4.06,7.097888937459687
1.0,1,0,102.82142857142857,14,1439.5,1.7007142857142856,10.460051582725459
1.0,1,1,72.67391304347827,23,1671.5,5.870869565217391,4.479535848070869
1.0,1,2,87.14285714285714,7,610.0,0.0,8.50952380952381
1.0,1,3,37.0,5,185.0,3.56,0.0
1.0,1,4,157.77727272727273,11,1735.55,0.09090909090909091,10.289510994144425
1.0,1,5,87.75,12,1053.0,3.1108333333333333,8.926432184746044
1.0,1,6,89.34333333333333,9,804.09,1.0355555555555556,3.9036195286195285
1.0,2,0,62.50055555555556,18,1125.01,2.106111111111111,8.172319973932877
1.0,2,1,47.18421052631579,19,896.5,0.005263157894736842,4.451366591080877
1.0,2,2,64.58333333333333,18,1162.5,1.6616666666666666,8.3366704807515
1.0,2,3,58.27272727272727,22,1282.0,0.13954545454545456,5.209569876924065
1.0,2,4,86.13333333333334,15,1292.0,1.2346666666666666,4.095088566827697
1.0,2,5,87.98214285714286,28,2463.5,0.6653571428571429,8.913542979854508
1.0,2,6,58.17999999999999,20,1163.6,0.6035,9.845012196480175
1.0,3,0,72.10511627906976,43,3100.52,1.3167441860465119,29.19065402113882
1.0,3,1,69.5939393939394,33,2296.6,1.2575757575757576,7.791807902403891
1.0,3,2,61.4264705882353,34,2088.5,2.1676470588235297,10.054039448731928
1.0,3,3,66.62724137931035,29,1932.19,0.9558620689655172,12.570625134300906
1.0,3,4,69.04127272727271,55,3797.2699999999995,1.527636363636364,9.025874664854447
1.0,3,5,64.47392857142857,56,3610.54,0.4546428571428572,8.380696578026287
1.0,3,6,70.50377358490566,53,3736.7,1.450188679245283,7.714485085295566
1.0,4,0,74.68373626373626,91,6796.22,0.6826373626373626,10.517568952497937
1.0,4,1,71.04106382978723,94,6677.86,1.4543617021276594,14.806147209015187
1.0,4,2,72.11931506849315,73,5264.71,0.36219178082191783,10.674599717530505
1.0,4,3,75.43368932038835,103,7769.670000000001,1.0640776699029126,23.9764886422841
1.0,4,4,73.89228813559323,118,8719.29,2.0543220338983055,23.75523435127856
1.0,4,5,76.7,84,6442.8,0.4227380952380952,14.421390359106175
1.0,4,6,65.68915094339623,106,6963.05,1.416981132075472,9.391173194633746
1.0,5,0,74.90288659793815,97,7265.58,1.2201030927835053,9.677505271310592
1.0,5,1,71.11734939759036,83,5902.74,1.5656626506024096,11.355227378707122
1.0,5,2,78.22164062499999,128,10012.369999999999,1.21828125,13.188449122371972
1.0,5,3,75.45671328671328,143,10790.31,1.9922377622377625,15.853099362155406
1.0,5,4,73.92190476190477,168,12418.880000000001,1.807559523809524,17.066667703751722
1.0,5,5,72.03070921985814,141,10156.329999999998,1.6407092198581559,13.192568456043139
1.0,5,6,66.84234782608696,115,7686.870000000001,1.3795652173913044,17.369260898806782
